lab_sample_num, drainage_cl
40A1245,somewhat poorly
40A1244,well
40A1226,well
40A1226,well
40A1247,moderately well
40A1248,well
40A1249,well
40A1250,well
40A4076,very poorly
40A4076,very poorly
40A4077,very poorly
40A4077,very poorly
40A4078,somewhat excessively
40A4078,somewhat excessively
40A4079,somewhat excessively
40A4079,somewhat excessively
40A4074,poorly
40A4074,poorly
40A4075,poorly
40A4080,excessively
40A4080,excessively
40A4081,excessively
40A4081,excessively
40A1210,well
40A1210,well
40A1211,well
40A1246,well
40A1246,well
78P0572,moderately well
78P0572,moderately well
40A5366,
40A5367,
40A5388,
40A5389,
40A5390,
40A5391,
40A5392,well
40A5393,well
40A5368,
40A5370,
40A5369,
40A5373,
40A5372,
40A5371,
40A5374,
40A5377,
40A5383,
40A5385,
40A4598,
40A4599,
40A0520,moderately well
40A0520,moderately well
40A0521,well
40A0521,well
40A0522,well
40A0522,well
40A0523,very poorly
40A0523,very poorly
40A5485,excessively
40A5485,excessively
40A5486,excessively
40A5486,excessively
40A5417,somewhat poorly
40A5417,somewhat poorly
40A5419,well
40A5418,poorly
40A5418,poorly
40A5420,well
40A5421,well
40A5422,well
40A5422,well
40A1220,well
40A1220,well
40A1221,excessively
40A1221,excessively
40A1222,moderately well
40A1222,moderately well
40A1223,somewhat poorly
40A1223,somewhat poorly
40A1224,somewhat poorly
40A1224,somewhat poorly
40A1225,excessively
40A1215,well
40A1215,well
40A1216,well
40A1216,well
40A1213,well
40A1213,well
40A1217,somewhat excessively
40A1217,somewhat excessively
40A0513,somewhat excessively
40A0513,somewhat excessively
40A0514,somewhat excessively
40A0514,somewhat excessively
40A0515,well
40A0515,well
40A0516,somewhat excessively
40A0516,somewhat excessively
40A0517,well
40A0517,well
40A0518,moderately well
40A0518,moderately well
40A0519,poorly
40A0519,poorly
40A4129,moderately well
40A4129,moderately well
40A1308,well
40A1308,well
40A1309,well
40A1309,well
78P0340,well
78P0340,well
78P0341,well
78P0341,well
78P0342,well
78P0342,well
78P0343,well
78P0343,well
78P0344,well
78P0345,well
78P0346,well
78P0346,well
78P0347,well
78P0348,well
78P0348,well
78P0349,well
40A1313,well
40A1313,well
00P1338,
00P1338,
00P1336,
00P1337,
00P1339,
00P1339,
00P1226,poorly
00P1226,poorly
00P1227,moderately well
00P1227,moderately well
00P1228,moderately well
00P1228,moderately well
00P1229,well
00P1229,well
00P1230,very poorly
00P1230,very poorly
00P0093,
00P0093,
00P1231,very poorly
00P1231,very poorly
00P1232,well
00P1232,well
00P1233,well
00P1233,well
00P1241,
00P1331,
00P1243,
01P0048,well
00P1225,very poorly
00P1225,very poorly
00P1237,somewhat poorly
00P1237,somewhat poorly
00P1244,
00P1242,
00P1340,
00P1340,
00P0106,somewhat poorly
00P0106,somewhat poorly
00P1238,moderately well
00P1238,moderately well
00P0102,moderately well
00P0102,moderately well
00P0103,moderately well
00P0103,moderately well
00P0104,well
00P0105,well
00P0105,well
00P0100,well
00P0100,well
00P0101,moderately well
99P0554,well
99P0554,well
01P0057,well
01P0057,well
01P0058,well
01P0058,well
01P0059,very poorly
01P0060,very poorly
01P0061,poorly
82P0108,moderately well
82P0108,moderately well
82P0109,moderately well
82P0109,moderately well
83P0331,well
83P0331,well
83P0279,poorly
83P0279,poorly
82P0110,moderately well
82P0110,moderately well
82P0111,
82P0111,
82P0112,poorly
82P0112,poorly
82P0113,
82P0113,
84P0200,well
79P0095,well
79P0095,well
79P0096,moderately well
79P0096,moderately well
79P0097,moderately well
79P0097,moderately well
85P0286,
85P0287,well
85P0287,well
85P0288,
85P0288,
78P0054,well
78P0055,moderately well
78P0056,somewhat poorly
78P0056,somewhat poorly
78P0057,well
78P0057,well
85P0875,well
85P0875,well
85P0880,well
85P0876,well
85P0876,well
85P0879,excessively
85P0877,well
85P0877,well
85P0878,well
85P0878,well
85P0873,excessively
85P0873,excessively
85P0874,well
85P0874,well
01N1072,poorly
02N0086,well
01N0966,moderately well
01N0966,moderately well
01N0967,well
01N0967,well
01N0968,excessively
01N0968,excessively
01N0969,somewhat poorly
01N0970,well
01N0970,well
01N0971,well
01N0971,well
02N0141,somewhat poorly
02N0141,somewhat poorly
78P0120,well
78P0121,
78P0122,well
78P0123,
78P0124,well
78P0567,moderately well
78P0567,moderately well
78P0568,
78P0568,
78P0569,poorly
78P0569,poorly
78P0570,well
78P0570,well
78P0571,very poorly
78P0571,very poorly
78P0573,very poorly
78P0573,very poorly
78P0574,very poorly
78P0575,somewhat poorly
78P0575,somewhat poorly
79P0280,
79P0281,
79P0281,
79P0282,
79P0283,somewhat poorly
79P0283,somewhat poorly
79P0284,
79P0285,poorly
79P0285,poorly
79P0286,well
79P0286,well
79P0287,well
79P0287,well
79P0327,
79P0328,
80P0010,somewhat poorly
80P0010,somewhat poorly
80P0011,somewhat poorly
80P0011,somewhat poorly
80P0012,moderately well
80P0012,moderately well
80P0013,moderately well
80P0408,
80P0408,
80P0409,
80P0409,
80P0410,
80P0410,
80P0411,
80P0412,
80P0413,
80P0414,
80P0414,
80P0436,moderately well
80P0436,moderately well
80P0437,moderately well
80P0438,moderately well
80P0439,well
80P0440,well
81P0346,excessively
81P0346,excessively
81P0348,moderately well
81P0349,very poorly
81P0349,very poorly
81P0350,well
81P0350,well
81P0745,well
81P0745,well
81P0746,well
81P0746,well
81P0747,moderately well
81P0747,moderately well
81P0748,moderately well
81P0748,moderately well
81P0749,well
81P0749,well
81P0750,moderately well
81P0750,moderately well
81P0751,moderately well
81P0751,moderately well
81P0752,well
81P0752,well
83P0109,moderately well
83P0110,moderately well
83P0111,moderately well
83P0111,moderately well
83P0112,moderately well
83P0112,moderately well
83P0113,moderately well
83P0114,well
83P0115,moderately well
83P0116,well
83P0117,well
83P0117,well
83P0140,somewhat excessively
83P0140,somewhat excessively
83P0141,
83P0141,
83P0142,
83P0142,
83P0143,
83P0143,
83P0144,
83P0144,
83P0145,
83P0145,
83P0146,
83P0146,
83P0147,
83P0147,
83P0386,poorly
83P0386,poorly
83P0387,well
83P0387,well
83P0639,somewhat poorly
83P0639,somewhat poorly
84P0008,well
84P0008,well
84P0009,well
84P0010,well
84P0010,well
84P0011,somewhat excessively
84P0011,somewhat excessively
84P0012,well
84P0012,well
84P0013,somewhat excessively
84P0013,somewhat excessively
84P0488,moderately well
84P0489,well
84P0719,moderately well
84P0719,moderately well
84P0720,well
84P0720,well
84P0721,well
84P0721,well
84P0722,moderately well
84P0722,moderately well
84P0723,well
84P0723,well
84P0724,somewhat poorly
84P0724,somewhat poorly
84P0819,moderately well
84P0820,well
84P0821,well
85P0011,moderately well
85P0012,moderately well
85P0012,moderately well
85P0013,well
85P0013,well
85P0014,moderately well
85P0014,moderately well
85P0015,moderately well
85P0015,moderately well
85P0016,somewhat poorly
85P0017,very poorly
85P0018,poorly
85P0018,poorly
85P0019,moderately well
85P0019,moderately well
85P0020,somewhat poorly
85P0020,somewhat poorly
85P0021,poorly
85P0021,poorly
85P0022,poorly
85P0022,poorly
85P0023,poorly
85P0023,poorly
85P0052,well
85P0052,well
85P0053,well
85P0053,well
85P0055,well
85P0055,well
85P0056,well
85P0056,well
85P0057,well
85P0057,well
85P0764,well
85P0765,well
85P0765,well
85P0766,well
85P0766,well
85P0767,well
85P0872,moderately well
85P0872,moderately well
85P0970,well
85P0971,moderately well
85P0971,moderately well
85P0972,moderately well
85P0972,moderately well
85P0973,somewhat excessively
85P0974,moderately well
85P0974,moderately well
85P0975,well
85P0975,well
85P0976,moderately well
85P0976,moderately well
85P0977,excessively
85P0977,excessively
85P0978,well
85P0978,well
86P0106,moderately well
86P0106,moderately well
86P0107,well
86P0108,well
86P0109,poorly
86P0110,poorly
86P0110,poorly
86P0111,moderately well
86P0112,moderately well
86P0112,moderately well
86P0113,very poorly
86P0113,very poorly
86P0114,moderately well
86P0115,somewhat excessively
86P0115,somewhat excessively
86P0116,somewhat excessively
86P0116,somewhat excessively
86P0117,well
86P0117,well
86P0168,moderately well
86P0168,moderately well
86P0271,
86P0275,well
86P0275,well
86P0276,excessively
86P0277,well
86P0277,well
86P0278,well
86P0279,well
86P0279,well
86P0280,well
86P0280,well
86P0281,well
86P0281,well
86P0282,well
86P0283,moderately well
86P0283,moderately well
86P0284,moderately well
86P0284,moderately well
86P0285,very poorly
86P0286,well
86P0287,well
86P0383,well
86P0383,well
86P0384,well
86P0384,well
86P0385,well
86P0385,well
86P0386,well
86P0386,well
86P0893,moderately well
86P0893,moderately well
86P0894,poorly
86P0894,poorly
86P0895,well
86P0895,well
86P0896,well
86P0896,well
86P0897,well
86P0897,well
86P0898,well
86P0898,well
86P0899,well
86P0899,well
86P0900,well
86P0900,well
86P0901,well
86P0901,well
87P0111,very poorly
87P0111,very poorly
87P0112,very poorly
87P0113,very poorly
87P0114,very poorly
87P0115,moderately well
87P0115,moderately well
87P0116,poorly
87P0117,very poorly
87P0117,very poorly
87P0118,very poorly
87P0119,somewhat excessively
87P0120,excessively
87P0121,excessively
87P0122,excessively
87P0123,excessively
87P0123,excessively
87P0124,somewhat excessively
87P0125,very poorly
87P0132,excessively
87P0184,well
87P0184,well
87P0185,somewhat poorly
87P0185,somewhat poorly
87P0186,well
87P0186,well
87P0187,very poorly
87P0187,very poorly
87P0188,somewhat excessively
87P0188,somewhat excessively
87P0189,well
87P0190,well
87P0191,well
87P0206,
87P0423,well
87P0423,well
87P0424,well
87P0424,well
87P0425,well
87P0425,well
87P0426,well
87P0426,well
87P0427,
87P0427,
87P0428,
87P0428,
87P0521,
87P0581,well
87P0581,well
87P0582,well
87P0583,well
87P0583,well
87P0584,well
87P0585,well
87P0586,well
87P0586,well
87P0587,well
87P0588,well
87P0612,poorly
87P0612,poorly
87P0613,moderately well
87P0613,moderately well
87P0669,moderately well
87P0669,moderately well
88P0383,well
88P0383,well
88P0384,well
88P0384,well
88P0385,well
88P0385,well
88P0386,somewhat poorly
88P0386,somewhat poorly
88P0387,somewhat excessively
88P0387,somewhat excessively
88P0388,moderately well
88P0388,moderately well
88P0389,moderately well
88P0389,moderately well
88P0493,well
88P0493,well
88P0494,
88P0494,
88P0495,well
88P0495,well
88P0496,
88P0496,
88P0497,
88P0497,
88P0498,well
88P0498,well
88P0499,
88P0499,
88P0501,
88P0501,
88P0502,
88P0502,
88P0503,well
88P0503,well
88P0504,
88P0505,well
88P0506,
88P0507,
88P0541,
88P0704,poorly
88P0705,well
88P0705,well
89P0358,well
89P0359,well
89P0360,well
89P0361,well
89P0362,well
89P0363,excessively
89P0363,excessively
89P0364,well
89P0365,moderately well
89P0366,moderately well
89P0367,well
89P0368,excessively
89P0369,moderately well
89P0369,moderately well
89P0370,excessively
89P0370,excessively
89P0371,moderately well
90P0111,
90P0112,
90P0113,
90P0114,
90P0115,
90P0116,
90P0117,
90P0118,
90P0119,
90P0119,
90P0120,
90P0120,
90P0121,
90P0121,
90P0657,well
90P0657,well
90P0658,well
90P0658,well
90P0732,well
90P0732,well
90P0733,well
90P0734,well
91P0100,well
91P0102,moderately well
91P0103,moderately well
91P0788,excessively
91P0788,excessively
91P0789,poorly
91P0789,poorly
91P0790,poorly
91P0790,poorly
91P0791,poorly
91P0791,poorly
91P0792,moderately well
91P0792,moderately well
91P0793,excessively
91P0793,excessively
91P0794,moderately well
91P0794,moderately well
91P0795,somewhat poorly
