smp id,Dupl,area code,taxonomic order,horz desgn master,lay depth to top,lay depth to bottom,MGMT_lable,Measured Active Carbon,pH,Clay,Sand,Silt,Est Org C,Total Carbon
130163,U,TX,Alfisols,A,0,2,R,364,7.5,17.1,61.1,21.8,1.906,1.9
130164,U,TX,Alfisols,A,2,12,R,218,7.4,14.8,70.2,15.0,0.7,0.7
130167,U,TX,Alfisols,A,0,2,R,218,,11.9,77.7,10.4,0.64,0.6
130168,U,TX,Alfisols,A,2,13,R,199,7.4,9.5,85.0,5.5,0.36,0.4
130171,U,TX,Alfisols,A,0,2,R,419,7.7,15.7,65.2,19.1,1.3172,1.3
130172,U,TX,Alfisols,A,2,11,R,181,7.7,7.7,85.7,6.6,0.4344,0.4
130173,U,TX,Alfisols,A,11,25,R,109,7.6,8.0,57.0,35.0,0.27,0.3
130175,U,TX,Alfisols,A,0,2,R,438,7.3,18.1,61.8,20.1,1.95,1.9
130176,U,TX,Alfisols,A,2,16,R,181,7.4,8.4,83.0,8.6,0.39,0.4
130179,U,TX,Alfisols,A,0,2,R,511,,19.1,59.7,21.2,2.19,2.2
130180,U,TX,Alfisols,A,2,10,R,235,7.9,7.9,84.6,7.5,0.4124,0.4
130183,U,TX,Alfisols,A,0,2,R,455,7.5,16.9,65.1,18.0,1.45,1.5
130184,U,TX,Alfisols,A,2,10,R,181,7.6,8.3,81.4,10.3,0.4,0.4
130187,U,TX,Alfisols,A,0,2,R,401,7.2,14.9,56.0,29.1,1.55,1.6
130188,U,TX,Alfisols,A,2,13,R,273,7.4,16.0,57.5,26.5,1.06,1.1
130191,U,TX,Alfisols,A,0,2,R,512,7.4,20.9,49.6,29.5,2.57,2.6
130192,U,TX,Alfisols,A,2,10,R,309,7.4,17.1,57.2,25.7,1.18,1.2
130195,U,TX,Alfisols,A,0,2,R,511,6.5,20.8,50.3,28.9,2.34,2.3
130196,U,TX,Alfisols,A,2,11,R,328,6.7,21.5,49.8,28.7,1.47,1.5
130199,U,TX,Alfisols,A,0,2,R,418,6.5,16.0,57.2,26.8,1.79,1.8
130200,U,TX,Alfisols,A,2,11,R,236,7.0,16.7,58.3,25.0,0.92,0.9
130201,U,TX,Alfisols,A,11,31,R,182,7.0,19.5,59.7,20.8,0.74,0.7
130203,U,TX,Alfisols,A,0,2,R,510,6.7,17.9,58.8,23.3,2.01,2.0
130204,U,TX,Alfisols,A,2,14,R,236,7.0,15.4,61.6,23.0,0.92,0.9
130205,U,TX,Alfisols,A,14,22,R,182,7.1,16.4,62.9,20.7,0.69,0.7
130488,U,NE,,A,0,,,290,,,,,,
130489,U,WY,,A,0,,,121,,,,,,
130490,U,NE,Mollisols,A,0,5,T,587,6.8,21.6,9.7,68.7,2.18,2.2
130491,U,NE,Mollisols,A,5,14,T,404,6.6,21.6,8.5,69.9,1.34,1.3
130492,U,NE,Mollisols,A,14,21,T,294,6.1,22.9,8.0,69.1,1.1,1.1
130493,U,NE,Mollisols,A,21,40,T,294,5.8,27.1,3.1,69.8,1.41,1.4
130494,U,NE,Mollisols,A,0,5,T,550,6.3,21.3,6.2,72.5,1.96,2.0
130495,U,NE,Mollisols,A,5,15,T,330,5.4,21.6,4.8,73.6,1.22,1.2
130496,U,NE,Mollisols,A,15,22,T,257,5.6,22.8,4.0,73.2,1.16,1.2
130497,U,NE,Mollisols,A,22,40,T,276,6.1,26.1,3.3,70.6,1.52,1.5
130498,U,NE,Mollisols,A,0,5,T,458,6.5,20.9,6.4,72.7,1.62,1.6
130499,U,NE,Mollisols,A,5,22,T,293,5.9,21.2,7.0,71.8,1.08,1.1
130500,U,NE,Mollisols,A,22,40,T,312,6.4,26.5,2.8,70.7,1.5,1.5
130501,U,NE,Mollisols,A,0,5,T,440,6.9,20.7,8.2,71.1,2.1,2.1
130502,U,NE,Mollisols,A,5,11,T,403,6.7,20.7,7.6,71.7,1.58,1.6
130503,U,NE,Mollisols,A,11,27,T,330,6.3,21.2,8.2,70.6,1.13,1.1
130504,U,NE,Mollisols,A,27,40,T,294,6.2,26.2,3.0,70.8,1.65,1.6
130505,U,NE,Mollisols,A,0,5,T,513,6.4,19.8,5.5,74.7,1.95,1.9
130506,U,NE,Mollisols,A,5,10,T,367,6.0,21.3,4.8,73.9,1.34,1.3
130507,U,NE,Mollisols,A,10,23,T,257,6.0,23.0,4.2,72.8,1.08,1.1
130508,U,NE,Mollisols,A,23,40,T,257,6.3,25.5,2.8,71.7,1.55,1.5
130509,U,NE,Mollisols,A,0,5,NT,589,7.0,30.2,2.8,67.0,2.9,2.9
130510,U,NE,Mollisols,A,5,17,NT,387,7.2,32.0,2.2,65.8,1.57,1.6
130511,U,NE,Mollisols,A,17,30,NT,331,6.8,29.2,2.3,68.5,1.41,1.4
130512,U,NE,Mollisols,A,30,40,NT,343,7.0,29.7,2.5,67.8,1.23,1.2
130513,U,NE,Mollisols,A,0,5,NT,331,7.3,30.1,2.1,67.8,2.16,2.2
130514,U,NE,Mollisols,A,5,15,NT,295,5.5,31.0,1.7,67.3,1.45,1.4
130515,U,NE,Mollisols,A,15,22,NT,304,5.4,31.1,1.9,67.0,1.44,1.4
130516,U,NE,Mollisols,A,22,40,NT,331,6.1,30.3,1.3,68.4,1.96,2.0
130517,U,NE,Mollisols,A,0,5,NT,626,7.3,31.9,2.7,65.4,2.486,2.6
130518,U,NE,Mollisols,A,5,14,NT,405,7.4,32.2,2.4,65.4,1.5992,1.6
130519,U,NE,Mollisols,A,14,28,NT,295,7.4,32.3,2.5,65.2,1.344,1.4
130520,U,NE,Mollisols,A,28,40,NT,276,6.9,31.7,1.4,66.9,1.62,1.6
130521,U,NE,Mollisols,A,0,5,NT,571,7.4,32.8,2.6,64.6,2.102,2.1
130522,U,NE,Mollisols,A,5,11,NT,443,7.4,32.8,2.3,64.9,1.55,1.6
130523,U,NE,Mollisols,A,11,30,NT,295,7.0,33.1,2.5,64.4,1.25,1.2
130524,U,NE,Mollisols,A,30,40,NT,277,6.8,33.0,2.6,64.4,1.24,1.2
130525,U,NE,Mollisols,A,0,5,NT,589,7.4,29.6,2.1,68.3,2.264,2.4
130526,U,NE,Mollisols,A,5,13,NT,460,7.0,31.8,2.2,66.0,1.64,1.6
130527,U,NE,Mollisols,A,13,27,NT,313,6.5,32.0,2.3,65.7,1.38,1.4
130528,U,NE,Mollisols,A,27,40,NT,332,6.4,32.7,1.8,65.5,1.81,1.8
130529,U,NE,Mollisols,A,0,5,T,531,5.7,23.6,3.4,73.0,1.9,1.9
130530,U,NE,Mollisols,A,5,12,T,440,5.3,25.3,3.4,71.3,1.69,1.7
130531,U,NE,Mollisols,A,12,25,T,332,6.4,33.3,3.6,63.1,1.6,1.6
130532,U,NE,Mollisols,A,25,40,T,332,6.4,32.4,3.6,64.0,1.57,1.6
130533,U,NE,Mollisols,A,0,5,T,532,6.1,25.9,2.2,71.9,1.93,1.9
130534,U,NE,Mollisols,A,5,13,T,458,5.9,25.9,2.4,71.7,1.61,1.6
130535,U,NE,Mollisols,A,13,28,T,331,6.0,29.1,1.9,69.0,1.39,1.4
130536,U,NE,Mollisols,A,28,40,T,405,6.5,30.3,3.2,66.5,1.94,1.9
130537,U,NE,Mollisols,A,0,5,T,477,5.9,23.6,2.4,74.0,1.88,1.9
130538,U,NE,Mollisols,A,5,16,T,404,5.9,25.3,2.6,72.1,1.52,1.5
130539,U,NE,Mollisols,A,16,25,T,294,6.1,28.3,2.6,69.1,1.35,1.4
130540,U,NE,Mollisols,A,25,40,T,349,6.2,29.4,3.0,67.6,1.46,1.5
