smp_id,Grind,prep_name,smp_wt,wt_class,AC,Conc,Validation,Total.Carbon,Clay,Sand ,pH_H2O,pH_CaCl2
232158,lt2mm,"S Prep, Working Pint Preparation",0.25,0.25,3735,0.00015,valid,0.73,38,11,7.6,7.1
232158,lt2mm,"S Prep, Working Pint Preparation",0.253,0.25,3690,0.00015,valid,0.73,38,11,7.6,7.1
232158,lt2mm,"S Prep, Working Pint Preparation",0.498,0.5,2250,0.00014,valid,0.73,38,11,7.6,7.1
232158,lt2mm,"S Prep, Working Pint Preparation",0.498,0.5,2250,0.00014,valid,0.73,38,11,7.6,7.1
232158,lt2mm,"S Prep, Working Pint Preparation",0.5,0.5,1494,0.00016,valid,0.73,38,11,7.6,7.1
232158,lt2mm,"S Prep, Working Pint Preparation",0.999,1,1122,0.00014,valid,0.73,38,11,7.6,7.1
232158,lt2mm,"S Prep, Working Pint Preparation",1.001,1,1119,0.00014,valid,0.73,38,11,7.6,7.1
232158,lt2mm,"S Prep, Working Pint Preparation",1.004,1,930,0.00015,valid,0.73,38,11,7.6,7.1
232158,lt2mm,"S Prep, Working Pint Preparation",2.497,2.5,598,0.00012,valid,0.73,38,11,7.6,7.1
232158,lt2mm,"S Prep, Working Pint Preparation",2.498,2.5,598,0.00012,valid,0.73,38,11,7.6,7.1
232158,lt2mm,"S Prep, Working Pint Preparation",2.504,2.5,597,0.00012,valid,0.73,38,11,7.6,7.1
232158,lt2mm,"S Prep, Working Pint Preparation",4.999,5,374,0.0001,valid,0.73,38,11,7.6,7.1
232158,lt2mm,"S Prep, Working Pint Preparation",5.001,5,373,0.0001,valid,0.73,38,11,7.6,7.1
232158,lt2mm,"S Prep, Working Pint Preparation",5.002,5,411,0.00009,valid,0.73,38,11,7.6,7.1
232148,fine_lt80um,"S Prep, Fine Grind Preparation",0.249,0.25,2227,0.00017,valid,2.43,27.4,12.6,5.5,5.1
232148,fine_lt80um,"S Prep, Fine Grind Preparation",0.25,0.25,2218,0.00017,valid,2.43,27.4,12.6,5.5,5.1
232148,fine_lt80um,"S Prep, Fine Grind Preparation",0.25,0.25,2218,0.00017,valid,2.43,27.4,12.6,5.5,5.1
232148,fine_lt80um,"S Prep, Fine Grind Preparation",0.499,0.5,1852,0.00015,valid,2.43,27.4,12.6,5.5,5.1
232148,fine_lt80um,"S Prep, Fine Grind Preparation",0.5,0.5,1849,0.00015,valid,2.43,27.4,12.6,5.5,5.1
232148,fine_lt80um,"S Prep, Fine Grind Preparation",0.5,0.5,1849,0.00015,valid,2.43,27.4,12.6,5.5,5.1
232148,fine_lt80um,"S Prep, Fine Grind Preparation",0.999,1,1480,0.00012,valid,2.43,27.4,12.6,5.5,5.1
232148,fine_lt80um,"S Prep, Fine Grind Preparation",1,1,1479,0.00012,valid,2.43,27.4,12.6,5.5,5.1
232148,fine_lt80um,"S Prep, Fine Grind Preparation",1.002,1,1476,0.00012,valid,2.43,27.4,12.6,5.5,5.1
232148,fine_lt80um,"S Prep, Fine Grind Preparation",2.5,2.5,1183,0.00004,valid,2.43,27.4,12.6,5.5,5.1
232148,fine_lt80um,"S Prep, Fine Grind Preparation",2.501,2.5,1257,0.00003,valid,2.43,27.4,12.6,5.5,5.1
232148,fine_lt80um,"S Prep, Fine Grind Preparation",2.501,2.5,1257,0.00003,valid,2.43,27.4,12.6,5.5,5.1
232148,fine_lt80um,"S Prep, Fine Grind Preparation",5.001,5,739,0,invalid,2.43,27.4,12.6,5.5,5.1
232148,fine_lt80um,"S Prep, Fine Grind Preparation",5.002,5,739,0,invalid,2.43,27.4,12.6,5.5,5.1
232148,fine_lt80um,"S Prep, Fine Grind Preparation",5.003,5,739,0,invalid,2.43,27.4,12.6,5.5,5.1
232148,lt2mm,"S Prep, Working Pint Preparation",0.25,0.25,2218,0.00017,valid,2.43,27.4,12.6,5.5,5.1
232148,lt2mm,"S Prep, Working Pint Preparation",0.252,0.25,2201,0.00017,valid,2.43,27.4,12.6,5.5,5.1
232148,lt2mm,"S Prep, Working Pint Preparation",0.254,0.25,1456,0.00018,invalid,2.43,27.4,12.6,5.5,5.1
232148,lt2mm,"S Prep, Working Pint Preparation",0.498,0.5,1485,0.00016,valid,2.43,27.4,12.6,5.5,5.1
232148,lt2mm,"S Prep, Working Pint Preparation",0.502,0.5,1473,0.00016,valid,2.43,27.4,12.6,5.5,5.1
232148,lt2mm,"S Prep, Working Pint Preparation",0.504,0.5,1100,0.00017,valid,2.43,27.4,12.6,5.5,5.1
232148,lt2mm,"S Prep, Working Pint Preparation",0.999,1,925,0.00015,valid,2.43,27.4,12.6,5.5,5.1
232148,lt2mm,"S Prep, Working Pint Preparation",1.001,1,1108,0.00014,valid,2.43,27.4,12.6,5.5,5.1
232148,lt2mm,"S Prep, Working Pint Preparation",1.004,1,921,0.00015,valid,2.43,27.4,12.6,5.5,5.1
232148,lt2mm,"S Prep, Working Pint Preparation",2.498,2.5,888,0.00008,valid,2.43,27.4,12.6,5.5,5.1
232148,lt2mm,"S Prep, Working Pint Preparation",2.499,2.5,888,0.00008,valid,2.43,27.4,12.6,5.5,5.1
232148,lt2mm,"S Prep, Working Pint Preparation",2.502,2.5,813,0.00009,valid,2.43,27.4,12.6,5.5,5.1
232148,lt2mm,"S Prep, Working Pint Preparation",4.998,5,666,0.00002,valid,2.43,27.4,12.6,5.5,5.1
232148,lt2mm,"S Prep, Working Pint Preparation",5.001,5,665,0.00002,valid,2.43,27.4,12.6,5.5,5.1
232148,lt2mm,"S Prep, Working Pint Preparation",5.002,5,665,0.00002,valid,2.43,27.4,12.6,5.5,5.1
231916,fine_lt80um,"S Prep, Fine Grind Preparation",0.247,0.25,5197,0.00013,valid,4.56,17.7,37.5,6,5.4
231916,fine_lt80um,"S Prep, Fine Grind Preparation",0.249,0.25,5891,0.00012,valid,4.56,17.7,37.5,6,5.4
231916,fine_lt80um,"S Prep, Fine Grind Preparation",0.249,0.25,5155,0.00013,valid,4.56,17.7,37.5,6,5.4
231916,fine_lt80um,"S Prep, Fine Grind Preparation",0.499,0.5,3675,0.0001,valid,4.56,17.7,37.5,6,5.4
231916,fine_lt80um,"S Prep, Fine Grind Preparation",0.499,0.5,3675,0.0001,valid,4.56,17.7,37.5,6,5.4
231916,fine_lt80um,"S Prep, Fine Grind Preparation",0.502,0.5,3653,0.0001,valid,4.56,17.7,37.5,6,5.4
231916,fine_lt80um,"S Prep, Fine Grind Preparation",1,1,2200,0.00008,valid,4.56,17.7,37.5,6,5.4
231916,fine_lt80um,"S Prep, Fine Grind Preparation",1.001,1,2381,0.00007,valid,4.56,17.7,37.5,6,5.4
231916,fine_lt80um,"S Prep, Fine Grind Preparation",1.003,1,2377,0.00007,valid,4.56,17.7,37.5,6,5.4
231916,fine_lt80um,"S Prep, Fine Grind Preparation",2.499,2.5,1394,0.00001,invalid,4.56,17.7,37.5,6,5.4
231916,fine_lt80um,"S Prep, Fine Grind Preparation",2.5,2.5,1394,0.00001,invalid,4.56,17.7,37.5,6,5.4
231916,fine_lt80um,"S Prep, Fine Grind Preparation",2.502,2.5,1392,0.00001,invalid,4.56,17.7,37.5,6,5.4
231916,fine_lt80um,"S Prep, Fine Grind Preparation",4.997,5,734,0,invalid,4.56,17.7,37.5,6,5.4
231916,fine_lt80um,"S Prep, Fine Grind Preparation",4.999,5,734,0,invalid,4.56,17.7,37.5,6,5.4
231916,fine_lt80um,"S Prep, Fine Grind Preparation",5.004,5,733,0,invalid,4.56,17.7,37.5,6,5.4
231916,lt2mm,"S Prep, Working Pint Preparation",0.249,0.25,5155,0.00013,valid,4.56,17.7,37.5,6,5.4
231916,lt2mm,"S Prep, Working Pint Preparation",0.25,0.25,5134,0.00013,valid,4.56,17.7,37.5,6,5.4
231916,lt2mm,"S Prep, Working Pint Preparation",0.252,0.25,5094,0.00013,valid,4.56,17.7,37.5,6,5.4
231916,lt2mm,"S Prep, Working Pint Preparation",0.5,0.5,2934,0.00012,valid,4.56,17.7,37.5,6,5.4
231916,lt2mm,"S Prep, Working Pint Preparation",0.503,0.5,2916,0.00012,valid,4.56,17.7,37.5,6,5.4
231916,lt2mm,"S Prep, Working Pint Preparation",0.504,0.5,2911,0.00012,valid,4.56,17.7,37.5,6,5.4
231916,lt2mm,"S Prep, Working Pint Preparation",0.998,1,1654,0.00011,valid,4.56,17.7,37.5,6,5.4
231916,lt2mm,"S Prep, Working Pint Preparation",0.999,1,1836,0.0001,valid,4.56,17.7,37.5,6,5.4
231916,lt2mm,"S Prep, Working Pint Preparation",1,1,1834,0.0001,valid,4.56,17.7,37.5,6,5.4
231916,lt2mm,"S Prep, Working Pint Preparation",2.496,2.5,1102,0.00005,valid,4.56,17.7,37.5,6,5.4
231916,lt2mm,"S Prep, Working Pint Preparation",2.501,2.5,1100,0.00005,valid,4.56,17.7,37.5,6,5.4
231916,lt2mm,"S Prep, Working Pint Preparation",2.501,2.5,1100,0.00005,valid,4.56,17.7,37.5,6,5.4
231916,lt2mm,"S Prep, Working Pint Preparation",4.996,5,734,0,invalid,4.56,17.7,37.5,6,5.4
231916,lt2mm,"S Prep, Working Pint Preparation",5.001,5,733,0,invalid,4.56,17.7,37.5,6,5.4
231916,lt2mm,"S Prep, Working Pint Preparation",5.003,5,733,0,invalid,4.56,17.7,37.5,6,5.4
231915,fine_lt80um,"S Prep, Fine Grind Preparation",0.248,0.25,8209,0.00009,valid,9.73,21.2,35.4,5.5,5.5
231915,fine_lt80um,"S Prep, Fine Grind Preparation",0.251,0.25,8848,0.00008,valid,9.73,21.2,35.4,5.5,5.5
231915,fine_lt80um,"S Prep, Fine Grind Preparation",0.254,0.25,8015,0.00009,valid,9.73,21.2,35.4,5.5,5.5
231915,fine_lt80um,"S Prep, Fine Grind Preparation",0.502,0.5,5530,0.00005,valid,9.73,21.2,35.4,5.5,5.5
231915,fine_lt80um,"S Prep, Fine Grind Preparation",0.502,0.5,5530,0.00005,valid,9.73,21.2,35.4,5.5,5.5
231915,fine_lt80um,"S Prep, Fine Grind Preparation",0.503,0.5,5519,0.00005,valid,9.73,21.2,35.4,5.5,5.5
231915,fine_lt80um,"S Prep, Fine Grind Preparation",0.997,1,3527,0.00001,invalid,9.73,21.2,35.4,5.5,5.5
